time,open,high,low,close,Volume
1726680600,73116,73128,73000,73031,308
1726716600,72930,72999,72785,72997,1447
1726723800,73008,73245,72978,73226,1098
1726731000,73220,73549,73181,73530,1376
1726738200,73530,73620,73334,73379,1312
1726745400,73379,73526,73094,73221,1450
1726752600,73249,73330,73030,73320,1500
1726759800,73329,73504,73306,73423,631
1726767000,73439,73463,73409,73450,278
1726803000,73619,73619,73457,73499,433
1726810200,73500,73830,73500,73787,1562
1726817400,73787,73935,73715,73840,1047
1726824600,73840,73945,73730,73862,926
1726831800,73860,74035,73817,73828,1110
1726839000,73829,74027,73702,73887,1566
1726846200,73890,74180,73887,74061,1143
1726853400,74060,74095,74005,74014,430
1727062200,74205,74324,74205,74254,837
1727069400,74257,74344,74062,74091,1838
1727076600,74088,74136,73983,74113,1553
1727083800,74104,74259,74076,74233,1455
1727091000,74232,74337,74186,74316,903
1727098200,74311,74417,74240,74345,1159
1727105400,74345,74347,74232,74257,401
1727112600,74246,74327,74239,74296,242
1727148600,74353,74637,74350,74571,939
1727155800,74579,74630,74377,74404,1203
1727163000,74403,74535,74350,74463,1240
1727170200,74472,74650,74440,74543,1518
1727177400,74550,74599,74400,74540,1176
1727184600,74553,74900,74517,74856,1184
1727191800,74841,75043,74770,75007,997
1727199000,74999,75049,74983,75049,328
1727235000,75101,76000,75051,75143,962
1727242200,75123,75180,75000,75075,968
1727249400,75085,75242,75083,75109,643
1727256600,75110,75215,75084,75105,716
1727263800,75100,75323,75070,75298,730
1727271000,75308,75360,75111,75170,710
1727278200,75155,75291,75040,75288,374
1727285400,75278,75358,75265,75265,135
1727321400,75345,75345,75209,75275,672
1727328600,75279,75330,75229,75299,492
1727335800,75283,75570,75283,75462,990
1727343000,75468,75645,75408,75587,1054
1727350200,75592,75723,75204,75390,1565
1727357400,75415,75459,75152,75369,1523
1727364600,75370,75499,75236,75412,1268
1727371800,75399,75410,75351,75408,249
1727407800,75376,75434,75152,75185,899
1727415000,75160,75170,75030,75070,800
1727422200,75100,75180,75055,75076,473
1727429400,75076,75244,75065,75200,670
1727436600,75201,75400,75162,75250,312
1727443800,75250,75319,74801,75035,404
1727451000,75020,75038,74751,74780,816
1727458200,74895,74939,74791,74930,49
1727667000,75979,76090,75880,76080,698
1727674200,76074,76120,76000,76099,623
1727681400,76091,76092,75827,75860,689
1727688600,75852,75880,75481,75589,1279
1727695800,75586,75738,75520,75620,1168
1727703000,75619,75631,75366,75468,1079
1727710200,75469,75642,75459,75591,636
1727717400,75591,75648,75571,75617,229
1727753400,75505,75739,75505,75725,311
1727760600,75725,75795,75688,75726,602
1727767800,75731,75868,75704,75830,432
1727775000,75824,75950,75820,75872,459
1727782200,75872,76077,75861,76026,751
1727789400,76040,76506,76010,76369,2845
1727796600,76387,76589,76281,76548,1120
1727803800,76539,76539,76330,76344,483
1727926200,76114,76250,76093,76100,847
1727933400,76109,76244,76030,76040,831
1727940600,76035,76050,75833,75890,985
1727947800,75885,76027,75876,75960,477
1727955000,75965,76180,75918,76065,948
1727962200,76060,76185,75853,76110,1288
1727969400,76139,76370,76068,76286,677
1727976600,76301,76328,76181,76230,122
1728012600,76301,76483,76297,76474,391
1728019800,76474,76560,76322,76400,798
1728027000,76415,76436,76301,76315,364
1728034200,76305,76397,76297,76360,286
1728041400,76370,76434,75735,76160,2808
1728048600,76162,76630,76033,76335,1590
1728055800,76351,76357,75966,76128,1456
1728063000,76128,76190,76095,76190,166
1728271800,76006,76124,75925,75925,1040
1728279000,75920,76001,75870,75981,558
1728286200,75978,76238,75978,76160,401
1728293400,76141,76314,76122,76275,546
1728300600,76294,76331,75840,76050,1562
1728307800,76036,76090,75870,75995,797
1728315000,76001,76118,75937,76010,258
1728322200,76010,76068,76010,76050,137
1728358200,75850,75953,75850,75890,567
1728365400,75886,75995,75609,75702,1094
1728372600,75750,75789,75500,75725,1165
1728379800,75739,76059,75709,75998,792
1728387000,76000,76120,75740,75775,1131
1728394200,75800,75850,75025,75040,2994
1728401400,75025,75235,74883,75200,1566
1728408600,75200,75209,75116,75150,282
1728444600,75171,75300,75103,75289,662
1728451800,75300,75335,74969,75084,722
1728459000,75085,75198,74982,75178,591
1728466200,75175,75284,75097,75251,371
1728473400,75256,75281,74987,74987,718
1728480600,74981,75170,74844,75041,1155
1728487800,75060,75140,74908,74935,283
1728495000,74929,74969,74900,74967,264
1728531000,75070,75074,74978,75011,349
1728538200,75023,75092,74959,75046,482
1728545400,75050,75137,75030,75130,426
1728552600,75108,75166,75021,75045,438
1728559800,75037,75359,74757,75166,1514
1728567000,75151,75413,75120,75287,887
1728574200,75300,75396,75119,75250,641
1728581400,75241,75334,75241,75293,165
1728617400,75728,75898,75660,75838,1290
1728624600,75838,75960,75749,75868,871
1728631800,75855,75935,75714,75725,507
1728639000,75738,75873,75718,75812,238
1728646200,75812,76059,75811,75980,964
1728653400,75982,76311,75982,76300,1215
1728660600,76312,76350,76240,76297,848
1728667800,76298,76340,76255,76325,295
1728876600,76251,76346,76190,76318,372
1728883800,76318,76467,76260,76348,722
1728891000,76341,76395,76285,76305,325
1728898200,76292,76315,76150,76195,523
1728905400,76195,76216,76020,76159,783
1728912600,76169,76350,75960,75960,1125
1728919800,75955,76088,75940,76064,284
1728927000,76065,76080,76013,76065,136
1728963000,76026,76026,75783,75800,821
1728970200,75800,76075,75766,76075,960
1728977400,76075,76160,76042,76120,794
1728984600,76101,76196,76060,76060,401
1728991800,76060,76197,75930,76064,913
1728999000,76055,76380,75965,76340,1332
1729006200,76345,76488,76280,76358,905
1729013400,76353,76385,76337,76385,189
1729049400,76360,76469,76360,76435,340
1729056600,76430,76750,76425,76670,1338
1729063800,76670,76810,76625,76722,488
1729071000,76727,76820,76596,76727,627
1729078200,76721,76864,76680,76800,559
1729085400,76792,76890,76505,76673,1252
1729092600,76637,76670,76477,76668,482
1729099800,76667,76690,76643,76680,179
1729135800,76809,76861,76620,76796,471
1729143000,76800,76899,76751,76765,764
1729150200,76808,76863,76701,76726,330
1729157400,76704,76990,76704,76975,636
1729164600,76976,77019,76650,76885,1639
1729171800,76885,77210,76840,77149,1685
1729179000,77115,77188,76916,77093,544
1729186200,77097,77143,77062,77111,161
1729222200,77299,77641,77294,77600,1275
1729229400,77590,77667,77411,77485,868
1729236600,77490,77642,77390,77628,797
1729243800,77625,77650,77531,77550,400
